epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.98054,0.79645,1.25275,3.7026,0.89599,0.268,0.134,0.05613,0.05023,0.27323,0.13661,0.05729,0.0505,0.82629,1.28838,3.74253,0.85607,0.09903,3e-05,3e-05
2,3.6178,0.6755,1.1335,3.49115,0.9117,0.24382,0.12191,0.05542,0.05542,0.24858,0.12429,0.05734,0.05034,0.79636,1.18403,3.77712,0.85536,0.09709,8.99864e-05,8.99864e-05
3,4.15243,0.90098,1.40378,3.87433,0.89564,0.24382,0.12191,0.05542,0.05542,0.24858,0.12429,0.05734,0.05034,0.79636,1.18403,3.77712,0.85536,0.0951499,0.00014991,0.00014991
4,4.59973,0.63397,1.19483,3.51939,0.89938,0.22872,0.11436,0.05542,0.05542,0.23308,0.11654,0.05738,0.05027,0.78692,1.20893,3.75457,0.85467,0.0932097,0.000209715,0.000209715
5,4.98392,0.78129,1.26833,3.72165,0.90809,0.22872,0.11436,0.05542,0.05542,0.23308,0.11654,0.05738,0.05027,0.78692,1.20893,3.75457,0.85467,0.0912693,0.000269349,0.000269349
6,5.40682,0.89474,1.55445,3.84204,0.93209,0.001,0.16667,0.02792,0.02792,0.002,0.33333,0.0299,0.02542,0.75487,1.23299,3.74246,0.85248,0.0893288,0.000328758,0.000328758
7,5.78714,0.83191,1.4194,3.71853,0.91615,0.001,0.16667,0.02792,0.02792,0.002,0.33333,0.0299,0.02542,0.75487,1.23299,3.74246,0.85248,0.0873879,0.000387887,0.000387887
8,6.186,0.86903,1.57633,3.74053,0.96184,0.001,0.16667,0.02792,0.02792,0.002,0.33333,0.0299,0.02542,0.75487,1.23299,3.74246,0.85248,0.0854467,0.000446684,0.000446684
9,6.66189,1.35974,6.34414,3.57988,1.1009,0.0625,1,0.87056,0.34631,0.04167,0.66667,0.66567,0.16806,2.2651,13.5019,364.22,1.14377,0.0835051,0.000505096,0.000505096
10,7.34392,2.1631,12.913,5.36069,1.21593,0.0625,1,0.87056,0.34631,0.04167,0.66667,0.66567,0.16806,2.2651,13.5019,364.22,1.14377,0.0815631,0.00056307,0.00056307
